age,job_role,department,experience_years,company_type,work_mode,weekly_work_hours,overtime_hours,task_load_score,meeting_hours_per_week,schedule_flexibility,dependents_count,care_responsibility_hours,commute_time_minutes,work_life_balance_score,manager_support_score,team_support_score,mental_health_resources,gender_inclusive_policies,promotion_fairness_score,sleep_hours,stress_level,physical_activity_days,mental_health_days_taken,job_satisfaction,career_growth_score,skill_gap_score,ai_tool_usage_frequency,ai_assistance_type,training_hours_last_6_months,burnout_risk
58,Designer,Finance,15,MNC,Onsite,58,10,5,3,8,1,12,50,2,10,10,1,0,5,5.7,3,0,1,4,7,10,1,Learning,57,0
57,HR,Operations,13,MNC,Remote,37,1,10,19,6,2,33,60,1,3,8,1,1,10,7,8,7,4,9,8,4,4,Scheduling,61,1
48,Manager,Finance,15,Startup,Hybrid,55,0,6,8,10,1,29,117,6,7,7,1,0,3,5.3,2,3,5,8,1,9,6,None,90,0
38,Designer,Operations,32,Startup,Hybrid,44,10,3,19,9,2,4,41,5,4,1,0,1,4,4.1,1,3,2,4,10,8,4,None,73,0
30,Manager,HR,29,Startup,Onsite,30,1,1,18,4,0,0,25,10,6,1,0,1,9,8.8,5,6,10,6,4,6,2,Scheduling,53,0
54,Developer,Finance,11,MNC,Onsite,57,15,10,1,10,2,30,103,6,6,1,1,1,7,7.7,8,1,13,2,10,8,5,None,8,1
41,Developer,Tech,14,MNC,Remote,43,2,8,15,9,0,19,10,2,5,2,1,1,9,4.7,6,6,2,6,5,7,4,Wellness,50,0
34,Developer,Finance,17,MNC,Onsite,63,19,1,10,8,2,18,24,7,1,10,0,0,7,6.3,2,0,5,1,2,8,7,Scheduling,9,0
49,Manager,Finance,27,Startup,Onsite,60,0,2,7,3,1,28,39,1,8,2,0,1,8,4.3,9,7,4,5,2,7,5,Wellness,48,1
50,Designer,Tech,22,MNC,Onsite,35,19,3,11,6,3,37,24,8,10,9,0,1,3,4.1,4,2,4,8,4,2,0,Learning,29,0
34,Developer,Finance,13,Startup,Hybrid,34,7,6,2,4,2,9,83,7,2,5,0,1,8,4.2,3,7,4,1,3,6,2,Learning,8,1
56,Designer,HR,29,MNC,Onsite,60,18,4,12,1,1,28,105,7,4,1,0,1,4,7.8,4,2,8,2,7,4,1,Wellness,45,1
27,Manager,Operations,32,SME,Hybrid,44,0,4,1,9,3,30,112,6,3,7,1,1,6,6.2,3,1,7,3,7,4,7,None,25,0
39,Designer,Tech,14,Startup,Remote,44,4,9,12,4,1,10,118,10,6,10,0,0,1,8.2,8,3,3,7,2,10,6,Wellness,63,1
26,Manager,Operations,6,SME,Remote,34,0,6,7,5,3,22,74,5,1,2,0,1,2,5.5,1,2,5,8,5,6,0,None,33,0
46,Manager,HR,14,Startup,Hybrid,57,10,2,14,3,0,29,107,9,9,3,1,1,7,7.9,1,0,14,4,5,8,0,Wellness,98,0
23,HR,Tech,10,MNC,Hybrid,62,8,7,8,4,2,24,73,3,5,4,0,1,6,4.4,9,6,4,8,8,5,5,Wellness,26,1
31,Manager,Operations,28,MNC,Hybrid,40,4,3,10,9,1,15,51,9,5,3,0,0,10,7.2,7,4,10,1,8,3,3,None,83,0
51,Manager,Operations,30,SME,Hybrid,35,1,9,2,7,2,22,112,5,4,3,1,1,5,5.8,9,4,5,3,4,1,2,Wellness,87,1
26,Analyst,HR,24,MNC,Onsite,52,12,6,6,8,0,32,2,8,4,9,1,0,7,5.4,3,3,14,4,10,5,5,Scheduling,26,0
54,Developer,Operations,23,Startup,Hybrid,31,17,8,13,3,0,36,38,3,1,4,1,1,2,8.1,3,5,14,5,1,3,3,None,40,0
22,HR,HR,18,MNC,Hybrid,44,11,1,14,3,2,27,90,7,9,8,1,0,10,4.3,2,4,10,9,6,3,2,Learning,82,0
39,HR,Finance,1,MNC,Hybrid,52,13,2,8,7,1,26,34,10,9,1,1,0,4,8.7,2,0,7,2,7,4,7,Learning,17,0
53,HR,HR,21,Startup,Onsite,51,4,6,19,8,1,5,112,4,4,6,1,0,5,7.9,9,5,5,7,1,9,7,Wellness,49,0
32,Analyst,Finance,19,SME,Onsite,38,9,3,10,5,1,37,118,5,10,1,0,0,8,5.8,2,1,5,3,8,4,2,Learning,42,0
42,Manager,Tech,32,SME,Onsite,59,19,1,6,1,2,36,39,4,10,5,0,0,6,9,4,1,1,10,9,5,0,Scheduling,40,0
47,Developer,Operations,7,MNC,Remote,45,1,6,11,3,1,5,94,9,4,7,0,0,6,5,4,0,6,2,8,10,4,Learning,75,1
46,Designer,HR,24,Startup,Onsite,59,3,5,18,5,1,24,84,7,7,1,0,1,5,6,9,1,11,9,3,5,3,Learning,17,0
43,Manager,HR,8,SME,Hybrid,38,11,9,17,3,3,12,21,6,4,9,1,1,10,8.4,3,0,12,3,9,1,3,None,60,0
48,Analyst,Operations,33,SME,Onsite,30,10,6,12,1,1,32,61,6,1,9,1,0,5,9,10,0,11,8,10,7,5,Wellness,71,1
34,Manager,Operations,22,MNC,Onsite,37,3,5,10,7,0,32,18,10,9,6,1,0,1,5.2,2,4,12,1,3,2,0,Learning,99,0
54,Manager,Tech,4,Startup,Hybrid,47,10,1,0,1,1,24,13,7,2,2,0,1,4,7.7,3,5,2,5,4,6,4,Wellness,52,0
55,Analyst,Tech,24,SME,Onsite,56,8,1,5,10,2,13,100,5,5,2,1,0,9,5.5,9,4,11,5,6,4,7,None,79,0
56,HR,HR,7,MNC,Remote,47,9,1,1,6,2,39,114,10,4,9,0,1,2,7.8,5,3,11,6,7,5,5,Learning,52,0
22,HR,Tech,15,MNC,Onsite,61,5,7,12,6,1,37,108,3,8,4,1,0,6,4.6,5,4,12,7,8,5,5,Learning,12,0
42,Developer,Finance,14,MNC,Remote,61,14,6,12,7,2,8,49,3,6,6,0,1,2,5.7,7,1,12,3,7,4,5,None,25,1
27,Developer,Tech,0,MNC,Remote,50,9,5,18,1,2,17,61,7,7,10,1,0,9,4.4,1,5,6,5,3,2,2,None,89,0
49,HR,Tech,21,SME,Remote,61,5,4,8,3,1,14,86,10,2,2,1,0,5,6.5,10,4,11,8,2,8,2,Learning,55,1
38,Designer,HR,2,Startup,Hybrid,60,0,8,18,9,3,3,89,1,4,4,0,1,9,7.5,5,0,13,6,2,1,6,Scheduling,84,0
26,Manager,Finance,13,MNC,Onsite,45,19,8,0,2,3,33,42,4,4,2,1,1,10,5.9,9,4,4,2,9,9,5,Wellness,60,1
52,Designer,Tech,17,MNC,Remote,43,3,5,7,5,3,37,54,10,2,3,1,0,5,7.1,6,7,3,7,7,6,4,Wellness,49,0
26,Manager,Finance,17,SME,Remote,53,13,4,13,3,3,16,107,8,10,2,0,1,9,6.8,8,1,9,3,7,4,2,Wellness,20,1
59,HR,Finance,2,MNC,Onsite,54,19,2,15,5,0,6,39,4,4,8,0,0,2,5.5,10,3,11,10,5,6,3,Scheduling,7,1
24,Developer,Finance,9,MNC,Hybrid,64,19,7,3,7,1,31,11,1,9,5,1,0,7,6.4,8,5,0,9,6,9,3,Wellness,96,0
44,Developer,Operations,0,Startup,Hybrid,46,7,5,17,1,2,22,64,5,8,5,1,0,8,4.3,1,2,11,4,7,9,3,None,69,0
58,Designer,Operations,26,MNC,Remote,33,10,3,13,3,2,19,113,1,1,8,1,0,3,6.3,8,5,14,4,9,3,0,None,63,1
58,Developer,Operations,26,SME,Hybrid,40,14,9,8,6,1,1,33,9,8,8,1,1,1,6.3,6,0,14,4,10,8,2,Learning,49,1
31,HR,Operations,10,Startup,Onsite,44,18,9,14,7,2,20,107,8,9,7,1,0,2,4.1,4,1,7,10,4,1,0,Scheduling,1,0
31,Designer,HR,4,SME,Hybrid,59,7,10,2,10,0,11,82,7,8,5,1,0,10,6.6,3,1,13,10,6,9,2,Scheduling,71,0
40,Manager,Tech,6,Startup,Onsite,53,12,8,3,3,3,26,22,5,10,7,0,1,5,7.7,5,6,1,8,1,7,3,Learning,69,0
38,Developer,Operations,18,Startup,Remote,31,17,1,17,4,1,9,70,4,1,1,1,1,9,6.3,5,2,9,1,7,10,3,Scheduling,5,0
42,Analyst,HR,28,MNC,Onsite,63,16,3,13,6,2,7,6,7,8,3,0,0,5,7.2,7,3,7,3,4,7,4,Wellness,21,0
35,Developer,Tech,14,MNC,Remote,52,5,2,14,5,0,20,64,3,5,3,0,0,1,6.7,9,7,13,8,2,6,2,Learning,88,0
30,Manager,Operations,34,MNC,Onsite,60,14,4,7,9,2,21,17,8,9,2,1,0,1,7.9,1,0,6,7,4,1,7,Wellness,45,0
22,Designer,Tech,11,SME,Onsite,42,12,2,9,1,0,12,7,5,9,6,0,0,2,6.6,9,3,14,6,8,2,6,Wellness,94,1
34,Manager,Operations,29,MNC,Hybrid,62,17,8,11,5,2,39,88,5,6,3,1,1,1,5.7,3,7,2,7,2,3,6,Learning,60,0
25,Analyst,HR,19,MNC,Onsite,36,10,1,8,1,3,11,41,1,3,4,0,0,8,8.1,6,2,13,1,1,1,1,None,34,0
22,HR,Finance,2,Startup,Remote,61,12,4,7,8,1,16,92,10,7,3,1,1,2,4.3,6,0,10,8,1,5,6,Learning,61,0
53,Developer,Finance,8,MNC,Onsite,36,0,5,16,7,3,8,86,8,3,7,0,0,8,5.4,4,4,6,4,7,5,0,Scheduling,68,0
55,Designer,Tech,25,MNC,Remote,42,17,10,8,5,3,39,92,7,7,4,1,1,5,7,2,3,0,1,7,6,3,Wellness,85,0
49,HR,HR,1,MNC,Remote,53,4,4,12,6,2,11,0,1,8,5,0,1,1,8.3,5,4,4,4,4,7,4,Wellness,56,0
52,Manager,Finance,22,MNC,Onsite,57,5,8,13,4,3,8,78,4,5,7,0,0,4,4.4,3,0,12,2,5,10,6,Scheduling,24,1
29,Designer,Operations,22,Startup,Hybrid,61,0,2,4,9,1,29,14,4,5,4,0,1,2,4.5,4,2,1,5,5,9,4,Learning,81,0
47,HR,Finance,20,MNC,Onsite,47,6,9,8,3,0,5,27,9,4,6,0,1,6,5.4,6,7,1,1,7,7,3,None,72,1
55,Designer,Tech,15,Startup,Onsite,63,3,2,15,2,0,24,35,10,3,9,0,1,5,5.7,7,4,2,1,3,6,2,Scheduling,24,1
24,Analyst,Tech,8,SME,Hybrid,63,8,2,18,7,2,27,105,2,8,6,0,1,9,8.2,2,7,6,5,5,9,4,None,92,0
33,Analyst,HR,12,MNC,Remote,30,14,2,6,2,1,9,103,4,6,5,1,0,3,8.8,3,7,1,2,7,2,2,Wellness,32,0
22,Developer,Tech,27,MNC,Onsite,60,5,10,11,6,1,27,95,10,6,1,1,1,5,4.1,7,4,3,9,7,6,6,Learning,7,1
26,Developer,Finance,26,MNC,Hybrid,30,16,8,1,8,0,28,45,3,2,8,0,0,10,4.1,5,1,3,10,9,5,4,Learning,12,0
51,Analyst,Finance,16,Startup,Hybrid,45,19,3,17,3,0,35,76,10,4,5,0,1,7,8.3,4,0,0,7,4,6,6,Wellness,60,0
51,Designer,Finance,0,MNC,Remote,44,17,10,17,3,3,10,20,5,5,5,0,0,9,4.7,4,5,6,4,1,10,0,Scheduling,7,1
38,Analyst,Finance,17,MNC,Hybrid,62,3,10,15,3,2,20,48,7,10,3,1,0,3,5.7,9,2,3,7,5,1,7,Wellness,26,1
44,Developer,HR,8,SME,Remote,52,8,8,10,1,0,37,38,5,5,10,0,1,4,5.4,9,7,0,8,4,5,2,Scheduling,53,1
36,Analyst,Operations,12,Startup,Onsite,63,13,7,1,9,0,25,37,5,3,2,0,0,1,5.4,10,1,2,8,3,8,4,Wellness,2,1
58,Analyst,Operations,14,Startup,Hybrid,46,2,10,13,5,1,17,8,4,10,1,0,1,2,5.6,7,3,7,8,7,3,3,None,32,1
42,Designer,HR,3,SME,Onsite,54,0,4,3,9,1,3,19,9,5,9,1,0,3,5.7,1,2,3,5,9,3,1,Learning,94,0
35,HR,Tech,32,Startup,Hybrid,35,10,7,6,5,1,14,83,6,5,5,0,1,10,7.1,1,6,0,7,4,7,6,None,27,0
23,Developer,Operations,23,MNC,Hybrid,60,0,8,1,7,0,22,7,10,2,10,1,1,7,7.1,3,1,6,7,6,7,3,Scheduling,84,0
32,Designer,Tech,9,MNC,Onsite,34,11,6,13,1,2,5,13,6,5,4,0,0,7,6.6,3,6,7,2,1,2,2,Scheduling,51,1
59,Analyst,Operations,19,SME,Hybrid,59,8,6,6,9,3,6,61,6,3,7,0,0,1,8.3,7,3,4,3,1,8,6,Wellness,28,0
55,Analyst,Tech,10,Startup,Onsite,34,4,3,8,1,2,14,83,6,3,4,1,1,9,8.2,2,6,8,2,3,5,5,None,92,0
59,HR,HR,11,Startup,Onsite,41,14,5,7,4,0,8,34,1,5,2,0,1,3,5.1,8,2,13,3,5,9,3,Learning,60,1
55,Developer,Finance,17,Startup,Remote,36,17,10,8,7,3,29,54,6,9,9,0,1,3,6.7,1,1,6,9,6,1,6,Scheduling,72,0
39,Developer,Tech,29,SME,Onsite,42,8,2,6,9,2,27,44,4,2,8,0,1,2,7.9,8,2,3,7,9,4,3,Wellness,60,0
51,Manager,Finance,19,MNC,Remote,33,12,5,18,1,0,29,20,2,9,4,1,0,3,8.3,9,4,8,4,9,8,5,Learning,21,1
36,Developer,Tech,24,SME,Onsite,32,12,5,16,6,2,7,104,6,3,8,1,0,6,5.3,5,7,5,8,10,9,7,Wellness,71,0
48,HR,Tech,11,MNC,Hybrid,41,12,7,12,10,0,34,52,1,7,9,0,0,10,6.5,4,1,10,7,1,9,1,Scheduling,56,0
55,Manager,Tech,20,SME,Onsite,30,9,4,10,5,1,34,104,1,1,2,0,0,4,6.6,6,4,7,10,2,10,7,Learning,44,0
59,Manager,Tech,24,MNC,Hybrid,56,9,6,17,3,2,25,53,5,1,4,1,1,2,7.5,6,1,1,6,8,1,5,Wellness,80,1
54,Analyst,Tech,10,Startup,Remote,42,6,9,16,10,1,29,85,6,8,6,1,1,8,5.7,8,4,4,4,5,1,3,Scheduling,86,0
45,Analyst,Finance,8,Startup,Hybrid,46,4,4,15,2,1,34,42,2,9,7,0,0,1,5.5,8,6,2,5,3,7,4,Wellness,29,1
36,Developer,Tech,24,Startup,Onsite,37,19,6,9,1,3,37,5,10,3,5,0,1,10,7.5,1,0,4,10,9,6,0,Wellness,78,0
51,Manager,Finance,34,SME,Hybrid,61,6,9,3,2,3,10,54,8,6,10,0,1,8,6,9,4,7,8,2,7,6,Wellness,13,1
38,Analyst,HR,31,SME,Remote,49,19,10,3,4,2,19,43,4,3,10,1,0,2,4,10,0,12,3,7,8,1,Learning,88,1
26,HR,Operations,13,SME,Hybrid,46,9,1,10,6,0,30,90,4,6,7,1,0,9,8.7,1,7,5,3,10,6,2,Learning,79,0
50,Analyst,Tech,0,Startup,Hybrid,63,9,8,7,5,3,33,67,10,7,4,1,0,4,4.7,3,5,0,5,8,10,4,Scheduling,47,1
25,Analyst,Operations,16,MNC,Onsite,64,12,1,8,4,3,11,3,5,5,8,1,0,4,4.7,7,2,6,9,2,10,2,Wellness,17,0
31,Manager,Finance,24,Startup,Onsite,64,14,4,15,8,1,27,62,10,3,3,0,0,7,8.1,5,6,9,5,1,10,7,Learning,31,0
38,Manager,HR,7,Startup,Hybrid,53,5,3,9,7,1,2,91,4,8,3,1,0,3,5.7,6,3,0,1,3,7,1,Learning,37,0
31,Designer,HR,4,MNC,Remote,47,19,4,8,4,0,4,118,5,5,5,1,0,10,5.6,8,3,0,5,8,7,1,Wellness,52,1
38,HR,HR,4,MNC,Hybrid,62,11,7,2,10,3,12,90,10,1,6,1,1,3,7.1,4,3,3,9,4,7,3,Scheduling,14,0
41,Manager,Operations,34,MNC,Remote,52,18,9,1,5,3,11,57,3,9,3,0,1,4,4.3,4,0,8,7,5,2,5,None,36,1
45,Developer,Finance,18,MNC,Remote,54,10,9,8,10,0,0,53,8,3,10,0,1,10,5.2,8,3,7,9,9,3,1,Wellness,48,1
26,HR,Tech,22,Startup,Remote,56,5,10,12,5,3,18,80,6,2,2,0,0,3,4.3,3,3,9,10,4,10,2,Scheduling,32,1
55,HR,Tech,8,SME,Hybrid,30,0,1,5,3,2,28,102,8,3,5,0,0,10,5.5,6,4,2,10,9,9,1,None,12,0
27,Manager,Finance,29,Startup,Remote,50,1,10,3,9,2,38,37,5,7,10,1,0,8,8.3,4,5,5,5,6,1,0,Scheduling,70,0
23,HR,Operations,15,MNC,Hybrid,39,14,1,13,5,0,24,59,7,10,6,1,1,9,8.5,6,7,0,3,7,8,3,None,63,0
34,Manager,Tech,32,SME,Remote,60,3,9,10,10,1,15,51,10,8,3,0,0,5,5.5,4,3,9,2,8,7,1,None,18,0
32,Analyst,Finance,1,SME,Remote,54,4,4,1,2,0,16,28,7,2,7,0,1,3,4.9,2,0,0,9,10,6,0,Scheduling,84,0
44,Designer,Tech,13,Startup,Hybrid,49,14,3,2,4,2,27,39,6,7,3,0,0,7,4.7,10,4,5,5,10,1,7,Learning,55,1
37,Analyst,HR,0,Startup,Onsite,31,10,9,4,4,3,38,70,10,5,2,1,1,3,6,3,0,4,1,1,9,6,Scheduling,36,1
52,Manager,Tech,25,Startup,Onsite,44,9,5,6,5,3,4,7,4,9,10,1,1,6,8.1,8,1,5,2,9,2,6,None,57,0
32,Manager,Operations,24,SME,Hybrid,57,16,6,10,8,1,0,104,6,7,4,1,0,4,8.3,1,3,8,2,2,10,2,Wellness,8,0
37,Analyst,Finance,15,SME,Hybrid,42,1,1,11,5,1,2,96,9,1,3,1,0,7,4.2,10,7,11,4,3,5,2,None,3,1
29,Developer,Operations,14,SME,Onsite,43,19,1,10,1,2,23,95,4,1,7,0,1,6,5,6,0,4,6,1,9,0,None,94,1
25,Developer,Finance,25,MNC,Onsite,31,9,7,18,2,1,28,34,6,6,8,0,1,7,5,9,0,1,8,10,8,0,Scheduling,70,1
25,Developer,HR,15,MNC,Onsite,63,19,10,12,3,0,14,81,6,9,3,1,0,4,8.1,1,7,13,3,3,10,5,None,12,0
46,Manager,Finance,13,Startup,Hybrid,64,2,8,3,3,2,3,114,3,1,6,1,0,6,6.3,4,7,0,10,2,4,1,Wellness,62,1
24,HR,Tech,28,SME,Remote,54,18,8,13,10,3,0,106,4,3,1,0,0,10,5.8,7,7,14,10,7,8,6,Learning,62,0
53,Manager,Tech,23,Startup,Hybrid,44,4,7,11,6,3,14,15,3,5,5,0,0,7,8.8,6,4,12,6,7,9,3,Wellness,60,0
24,HR,HR,14,SME,Onsite,41,2,9,1,9,3,23,17,3,4,2,0,1,10,8.6,6,1,12,4,6,5,3,Learning,35,0
48,Analyst,Finance,18,Startup,Remote,38,7,1,7,10,1,30,58,10,1,1,1,0,8,6.2,9,1,10,8,10,1,6,Wellness,7,0
50,Designer,HR,7,MNC,Hybrid,60,4,2,18,1,2,19,101,4,10,7,0,1,10,4.6,8,3,12,9,4,6,4,Learning,89,1
53,HR,Tech,33,SME,Onsite,43,11,3,12,6,1,9,88,4,4,10,1,0,9,4.9,5,6,13,9,3,4,0,Scheduling,26,0
40,Developer,Operations,1,MNC,Hybrid,58,13,5,0,9,0,10,33,6,4,4,0,1,3,4.6,2,5,1,6,7,6,2,Learning,25,0
42,Manager,HR,26,SME,Remote,37,6,4,4,4,2,17,3,4,10,5,1,0,5,7.4,3,2,7,2,3,1,6,Scheduling,44,0
26,Analyst,Operations,9,Startup,Onsite,32,10,4,10,10,1,33,68,6,4,2,0,1,10,6.8,10,2,14,2,9,4,4,Wellness,41,0
39,Developer,Operations,34,SME,Hybrid,31,7,8,10,3,3,27,116,2,3,8,0,0,3,6.8,3,7,0,10,10,5,0,None,13,0
49,Analyst,Finance,22,MNC,Remote,45,4,8,12,6,3,37,77,4,7,10,0,0,5,4.5,4,4,5,9,8,6,0,Scheduling,83,0
43,Designer,HR,7,SME,Remote,48,7,7,1,6,0,15,64,2,1,3,0,0,2,8,2,6,4,5,7,5,6,Learning,91,0
42,Manager,Operations,27,Startup,Hybrid,59,11,1,18,2,0,23,60,8,2,7,0,0,3,6.7,8,3,14,7,2,2,4,Scheduling,71,1
27,Manager,Operations,22,SME,Remote,45,14,10,15,5,0,38,85,9,1,1,0,1,7,4.5,8,4,9,6,10,3,3,Scheduling,51,1
22,Designer,Finance,3,MNC,Onsite,60,18,4,4,1,3,11,45,7,4,10,1,0,8,7.7,8,5,10,9,3,5,0,Scheduling,68,1
26,Manager,Finance,13,Startup,Remote,57,15,1,13,9,1,6,20,6,5,1,0,0,5,8.9,10,3,8,5,8,7,5,Scheduling,52,0
33,HR,Tech,28,MNC,Hybrid,33,13,5,18,9,3,35,76,8,10,7,1,0,3,6.2,5,1,3,8,3,4,4,None,50,0
47,Analyst,Operations,0,SME,Onsite,39,6,3,4,3,3,16,117,4,5,1,0,0,4,4.6,10,7,4,4,8,6,1,Scheduling,76,1
55,Developer,Tech,3,MNC,Remote,47,7,3,8,5,3,3,111,10,2,9,0,1,3,4.5,6,2,4,7,4,9,7,Wellness,1,1
35,Designer,Operations,31,SME,Remote,61,6,4,11,3,1,36,99,2,3,9,0,0,3,4.1,6,0,10,9,5,10,1,Scheduling,47,1
47,HR,Tech,32,Startup,Onsite,59,17,2,15,7,3,32,92,4,4,8,0,1,9,7.9,7,2,1,2,9,7,2,Scheduling,77,0
48,Developer,Finance,25,MNC,Onsite,38,5,7,18,1,0,18,37,5,10,8,1,0,4,7.5,1,3,10,9,10,3,6,None,48,0
30,Developer,HR,16,MNC,Remote,58,18,4,14,5,0,25,72,9,6,4,0,0,6,6.9,10,7,1,8,2,5,6,Wellness,58,1
47,Designer,Finance,22,SME,Onsite,45,3,5,16,6,0,10,96,5,6,4,0,1,3,7.8,3,6,8,10,3,9,3,None,66,0
43,HR,Tech,31,MNC,Hybrid,57,2,2,14,7,0,30,85,9,2,5,0,0,8,9,3,7,12,1,1,5,6,None,79,0
51,Developer,Tech,14,MNC,Remote,50,16,6,2,3,3,0,80,9,2,9,1,0,4,6,7,5,11,10,8,3,4,Wellness,8,1
38,Developer,HR,12,Startup,Hybrid,31,18,9,16,7,3,39,59,8,9,3,1,0,8,7.5,6,2,2,7,9,8,3,Wellness,1,0
47,HR,Operations,1,SME,Remote,64,14,8,12,4,3,35,86,5,2,4,0,0,2,5.9,9,0,5,5,10,7,3,Scheduling,74,1
57,Manager,Tech,18,SME,Hybrid,57,5,8,8,10,0,28,35,2,2,10,0,0,9,5.8,9,1,3,5,9,5,4,Wellness,87,1
22,Developer,Tech,23,Startup,Hybrid,60,11,2,12,6,1,24,5,5,3,5,0,1,2,8.3,9,1,3,7,3,5,0,Scheduling,42,0
29,Analyst,Tech,23,Startup,Onsite,62,18,4,15,5,2,17,111,1,9,7,0,0,3,6.9,4,3,4,10,5,1,1,None,92,0
56,HR,HR,10,SME,Remote,52,5,8,18,4,2,2,38,8,6,5,1,0,3,4.6,3,2,4,4,9,8,2,Scheduling,13,1
36,Developer,Finance,21,Startup,Onsite,46,10,1,13,6,2,17,28,2,6,9,1,0,5,6,4,3,6,1,5,6,0,Scheduling,39,0
43,Designer,Tech,14,Startup,Onsite,30,19,8,7,3,1,6,26,7,10,6,1,1,3,8,3,2,6,6,1,5,3,Wellness,54,0
35,Analyst,HR,9,Startup,Remote,52,19,3,18,3,3,27,68,2,5,3,1,1,8,8.7,7,6,13,1,1,7,3,None,58,1
47,Developer,Tech,26,SME,Hybrid,56,9,8,2,5,2,16,8,5,7,6,1,1,10,7.1,3,4,11,1,4,2,4,Wellness,85,0
49,Analyst,Operations,8,Startup,Remote,54,15,6,17,5,2,24,23,10,4,6,1,0,7,6,1,3,0,8,7,3,6,None,46,0
44,Analyst,HR,27,MNC,Remote,61,17,7,15,9,3,17,62,7,10,10,0,0,1,5.3,8,2,5,4,7,9,1,Learning,33,1
35,Manager,Tech,0,MNC,Remote,48,13,2,13,4,2,39,18,6,10,1,0,0,6,6.1,6,4,3,5,7,5,1,None,35,0
45,Analyst,HR,16,SME,Onsite,53,3,1,15,5,3,2,96,5,3,7,0,0,2,6.8,5,6,1,10,6,6,6,None,32,0
23,Manager,Tech,30,Startup,Remote,32,11,6,16,9,2,24,29,6,7,3,1,0,8,4,8,3,5,10,1,8,2,None,62,0
47,HR,Finance,9,MNC,Remote,41,19,3,19,4,3,6,57,2,10,1,0,1,10,5.3,8,6,6,1,3,3,7,None,17,1
35,Manager,Tech,28,SME,Remote,64,7,4,10,3,0,9,39,10,1,1,1,0,8,7.4,3,1,1,10,5,1,0,Scheduling,21,0
28,Designer,HR,17,MNC,Hybrid,44,6,9,12,7,1,18,115,1,6,5,0,1,7,7.4,3,7,1,7,4,4,5,Wellness,88,0
24,Developer,Operations,5,Startup,Hybrid,46,8,3,10,7,2,14,118,1,2,10,1,1,8,7.3,10,5,9,2,4,2,2,None,4,1
44,HR,Operations,11,SME,Hybrid,61,16,2,3,8,3,20,67,8,2,10,0,1,1,8.7,7,4,10,6,9,9,3,Scheduling,31,0
39,HR,Operations,13,MNC,Hybrid,36,9,2,13,4,0,20,118,3,8,2,0,0,8,6.8,3,6,6,9,7,4,5,Wellness,48,0
59,Designer,Tech,9,SME,Onsite,48,2,2,4,4,3,36,31,3,3,2,1,0,1,5.3,9,3,8,2,9,9,7,Scheduling,35,1
56,Manager,Finance,19,MNC,Onsite,36,7,6,3,9,2,27,112,9,9,4,0,1,3,8.1,8,0,2,6,7,7,3,None,72,0
36,Developer,Tech,14,MNC,Remote,34,13,2,0,10,2,31,64,6,4,10,1,1,4,5.9,8,5,2,5,10,7,1,Wellness,13,0
46,Manager,Operations,30,Startup,Onsite,50,6,7,13,7,2,26,33,4,6,7,0,1,3,5.2,9,1,7,2,3,1,3,None,63,1
58,Analyst,HR,6,Startup,Hybrid,36,15,7,6,3,2,22,84,4,1,8,0,1,2,6.8,8,5,1,9,10,2,0,Learning,31,1
49,Manager,Operations,9,MNC,Remote,52,17,7,9,9,2,9,30,7,10,10,0,1,3,5.4,4,5,8,2,4,7,7,Scheduling,8,0
31,HR,HR,9,SME,Remote,40,10,2,1,5,0,39,58,6,10,7,0,0,9,6,7,4,6,1,9,5,0,None,86,0
38,Developer,Finance,27,SME,Hybrid,39,5,7,9,4,3,5,77,2,3,9,0,1,2,7.5,6,2,7,9,1,7,2,Wellness,47,0
43,Manager,HR,29,Startup,Hybrid,50,19,10,2,1,3,23,25,9,4,7,1,1,5,9,1,0,8,9,3,3,5,Wellness,51,0
47,Developer,Tech,2,MNC,Hybrid,62,13,8,7,9,2,17,21,2,5,4,1,0,3,7.2,5,2,11,9,4,8,7,Scheduling,8,0
46,Developer,Tech,14,Startup,Onsite,49,12,8,9,6,3,9,33,8,1,9,1,1,9,5.4,2,7,13,8,4,4,0,Learning,84,0
38,Analyst,Tech,20,MNC,Remote,62,3,2,7,2,0,14,96,4,4,9,0,1,7,4.5,9,5,2,4,7,8,7,None,31,1
34,Analyst,HR,11,MNC,Hybrid,64,19,5,13,7,2,33,12,10,5,3,1,1,10,5.8,3,0,5,9,4,6,3,Wellness,9,0
41,HR,Tech,3,Startup,Remote,63,19,6,17,3,1,7,95,1,4,10,1,1,3,4.1,7,3,13,2,10,9,4,Learning,92,1
46,Designer,Tech,8,SME,Remote,56,10,9,8,6,0,34,54,1,10,8,0,0,2,6.3,2,6,7,1,8,6,7,Wellness,97,0
25,Developer,Tech,27,Startup,Onsite,48,17,6,8,8,2,26,7,9,10,1,0,0,2,7.3,7,7,0,10,1,4,5,Scheduling,85,0
31,Designer,Finance,22,MNC,Remote,34,0,10,3,3,3,24,61,4,7,2,0,1,5,6.6,4,3,14,7,3,3,1,Wellness,68,0
24,HR,HR,21,Startup,Hybrid,58,11,6,2,5,0,2,21,1,8,8,1,1,9,8.3,6,2,12,6,10,4,1,Learning,10,0
39,Developer,HR,23,SME,Hybrid,39,17,10,13,6,2,20,104,3,8,8,1,1,2,6.5,9,7,5,3,10,7,1,Wellness,57,1
